Rank,City,Region,# of STEM jobs (2019),% STEM jobs (2019),# of STEM jobs change (2015-2019),% STEM jobs change (2015-2019),# Women in STEM (2019),% Women in STEM (2019),# Women in STEM change (2015-2019),% Women in STEM change (2015-2019),"Median STEM income (all, 2019)","Median STEM income change (all, 2015-2019)","Median STEM income (women, 2019)","Median STEM income change (women, 2015-2019)"
63,"Richmond, VA",South,"8,096",6.50%,"2,536",1.40%,"2,627",32.40%,865,0.80%,"$70,741 ",15.70%,"$50,736 ",15.60%
64,"Durham, NC",South,"15,684",10.50%,"2,449",0.90%,"5,168",33.00%,-118,-7.00%,"$71,909 ",3.20%,"$66,369 ",3.80%
65,"Reno, NV",West,"7,587",5.40%,"1,880",0.70%,"2,357",31.10%,825,4.20%,"$70,750 ",14.60%,"$60,835 ",9.30%
66,"Gilbert, AZ",West,"11,664",9.10%,"1,360",0.80%,"2,513",21.50%,825,5.20%,"$82,336 ",9.00%,"$65,857 ",-8.00%
67,"Albuquerque, NM",West,"22,201",8.00%,"3,925",1.00%,"5,438",24.50%,"1,072",0.60%,"$75,756 ",6.70%,"$56,082 ",-2.10%
68,"Winston-Salem, NC",South,"4,050",3.60%,-446,-0.60%,"1,569",38.70%,309,10.70%,"$62,888 ",6.50%,"$64,235 ",25.50%
69,"Garland, TX",South,"7,629",6.40%,"1,942",1.60%,"2,043",26.80%,382,-2.40%,"$59,796 ",-0.80%,"$69,579 ",34.00%
70,"Mesa, AZ",West,"16,373",6.50%,"5,533",1.60%,"3,521",21.50%,"1,027",-1.50%,"$69,408 ",2.20%,"$60,958 ",8.40%
71,"Boise City, ID",West,"11,254",9.00%,"1,579",0.50%,"2,710",24.10%,729,3.60%,"$70,230 ",14.90%,"$55,288 ",15.60%
72,"Orlando, FL",South,"8,984",5.60%,"3,667",2.00%,"2,054",22.90%,770,-1.30%,"$62,537 ",-2.20%,"$62,634 ",33.60%
73,"Bakersfield, CA",West,"8,918",5.50%,"2,585",1.60%,"2,300",25.80%,761,1.50%,"$78,638 ",9.00%,"$63,594 ",-20.80%
74,"Cincinnati, OH",Midwest,"10,073",6.60%,"1,675",0.60%,"3,536",35.10%,307,-3.30%,"$67,349 ",21.30%,"$56,096 ",0.30%
75,"Santa Clarita, CA",West,"6,884",6.60%,"2,370",1.80%,"1,572",22.80%,357,-4.10%,"$100,578 ",17.70%,"$51,150 ",-24.10%
76,"Norfolk, VA",South,"5,932",5.60%,706,0.40%,"1,170",19.70%,240,1.90%,"$68,517 ",12.50%,"$58,380 ",61.30%
77,"San Antonio, TX",South,"36,633",4.90%,"7,294",0.50%,"9,663",26.40%,"1,086",-2.90%,"$65,641 ",7.30%,"$51,135 ",-8.60%
78,"Cleveland, OH",Midwest,"6,558",4.00%,"1,685",0.70%,"2,049",31.20%,"1,104",11.90%,"$56,242 ",-2.10%,"$49,788 ",41.40%
79,"Tucson, AZ",West,"17,345",6.80%,"4,221",1.10%,"3,769",21.70%,320,-4.60%,"$61,746 ",20.70%,"$52,835 ",25.50%
80,"Jacksonville, FL",South,"24,135",5.40%,"4,650",0.70%,"6,115",25.30%,449,-3.70%,"$63,175 ",1.90%,"$57,807 ",10.10%
81,"Lincoln, NE",Midwest,"11,026",6.90%,"3,355",1.80%,"2,978",27.00%,"1,351",5.80%,"$57,601 ",4.10%,"$46,137 ",-4.30%
82,"Louisville, KY",South,"16,312",5.40%,"4,009",1.20%,"3,114",19.10%,-6,-6.30%,"$70,285 ",15.10%,"$61,851 ",1.50%
